11.52573,14.82294,17.87899,20.17557,21.77536,22.96907,23.83685,24.52786,25.19165,25.64502,26.05304,26.40437,26.75564,27.03191
1.98757,1.98546,1.99249,2.07624,2.19478,2.34413,2.48559,2.65041,2.79336,2.9364,3.06921,3.22881,3.36625,3.51363
1.1199,1.06748,0.9935,0.96194,0.99134,1.03573,1.11148,1.18873,1.28746,1.36905,1.45746,1.55744,1.6607,1.78151
1.03765,0.99411,0.93905,0.8802,0.87052,0.89521,0.93729,1.00099,1.06434,1.12629,1.19555,1.27152,1.34772,1.45427
1.114,1.13014,1.0607,0.98106,0.95685,0.96092,0.9888,1.03238,1.07238,1.12327,1.17505,1.22936,1.31315,1.40818
15.87726,10.47975,7.33857,5.55436,4.48966,3.77062,3.33526,2.99572,2.66006,2.47354,2.33379,2.21499,2.12419,2.14235
1.56112,1.68818,1.62272,1.54875,1.48329,1.44862,1.42933,1.42141,1.42172,1.43316,1.45311,1.47929,1.52151,1.59673
1.95439,2.14862,2.12797,2.06657,1.99642,1.93416,1.88204,1.8444,1.82139,1.78696,1.76103,1.74294,1.74336,1.80023
2.66272,2.9577,3.03012,2.97294,2.86347,2.78763,2.69094,2.59349,2.48182,2.40601,2.33734,2.26025,2.1969,2.14025
4.3846,4.93451,5.08613,5.01606,4.87425,4.6917,4.49766,4.27748,4.08287,3.89609,3.70404,3.49979,3.28102,3.04015
6.77506,7.79111,7.92976,7.76631,7.50406,7.16221,6.80476,6.46713,6.12295,5.80421,5.46038,5.11124,4.68956,4.09079
